epoch,accuracy,loss,val_accuracy,val_loss
0,0.6804373264312744,0.6057180166244507,0.7083830833435059,0.5686918497085571
1,0.7001245617866516,0.5775873064994812,0.7111111283302307,0.5557827949523926
2,0.7115943431854248,0.5633797645568848,0.7284455895423889,0.533949613571167
3,0.718254804611206,0.5523192882537842,0.7283319234848022,0.5269914269447327
4,0.7244135141372681,0.5415506958961487,0.7416879534721375,0.511350691318512
5,0.7297765016555786,0.5303360819816589,0.7403807640075684,0.5067054033279419
6,0.7362293004989624,0.5199218988418579,0.749474287033081,0.49241238832473755
7,0.7397757768630981,0.5118851065635681,0.7574878931045532,0.4865545332431793
8,0.7466957569122314,0.5040953755378723,0.761864185333252,0.47822463512420654
9,0.7515742778778076,0.49451297521591187,0.7602728009223938,0.47422584891319275
