epoch,accuracy,loss,val_accuracy,val_loss
0,0.8126773238182068,0.3837073743343353,0.8358624577522278,0.35110607743263245
1,0.8154798746109009,0.3766119182109833,0.839499831199646,0.35139843821525574
2,0.8154280185699463,0.3738110363483429,0.8398976922035217,0.34991446137428284
3,0.8189398646354675,0.3698994517326355,0.8400682210922241,0.3466467559337616
4,0.8202373385429382,0.36757248640060425,0.8439329266548157,0.3402335047721863
5,0.8217251300811768,0.3633165657520294,0.8470588326454163,0.33529767394065857
6,0.8256868124008179,0.35673654079437256,0.8517760634422302,0.3298720121383667
7,0.8261193037033081,0.35483497381210327,0.8511508703231812,0.3339298665523529
8,0.8271746039390564,0.35338589549064636,0.8517760634422302,0.32892563939094543
9,0.830011785030365,0.347991943359375,0.8541063070297241,0.32886168360710144
10,0.8318109512329102,0.34529271721839905,0.8555271625518799,0.324362188577652
11,0.8335755467414856,0.3419841229915619,0.8542767763137817,0.3257196247577667
12,0.8328143358230591,0.34137746691703796,0.8599601984024048,0.3156171441078186
13,0.8358418345451355,0.3371486961841583,0.8608695864677429,0.32248497009277344
14,0.8354958295822144,0.3356303572654724,0.8560386300086975,0.3215273916721344
15,0.8402705788612366,0.3283856511116028,0.8646206259727478,0.3096569776535034
16,0.8391115069389343,0.3278590142726898,0.8583688735961914,0.31597957015037537
17,0.8396477699279785,0.3271055817604065,0.8557544946670532,0.3220427334308624
18,0.8403397798538208,0.32462212443351746,0.8664393424987793,0.3063851594924927
19,0.8425368666648865,0.3205529749393463,0.8691105246543884,0.30111780762672424
20,0.8425887227058411,0.3214793801307678,0.8691105246543884,0.30538684129714966
21,0.8443533182144165,0.316800981760025,0.867519199848175,0.3058045506477356
22,0.8432980179786682,0.3141781985759735,0.8672918677330017,0.30314183235168457
